SN,Field Name,vOCS,Field Type,Description
189,3GPPRATType,RAT_TYPE,Integer[4],-
190,PulaPulaProperty,RESERVE_0,Integer[4],-
191,BumerangeProperty,RESERVE_0,Integer[4],-
192,RateName,RESERVE_NULL,Char[25],-
193,IsTestNumber,RESERVE_0,Integer[4],-
194,MainProductStatus,MAIN_PRODUCT_STATUS,Integer[4],-
195,SubscriberIDType,RESERVE_0,Char[1],"Indicates ID Type of Subscriber.
The options are as follows:
??0: END_USER_E164
??2: END_USER_SIP_URI
Not null
The default value is 0."
196,DiscountOfLastEffProduct,DISCOUNT,Integer[4],"Indicates the discount percentage for the last
rated product that takes effect. For a product
that does not provide discounts, the value is
100.
Value range: 0-100
NOTE
The value 0 is not included.
Not null
The default value is 100."
197,Subscriberkey,SUB_ID,Integer[4],"Indicates the key of a subscriber.
The default value is 0."
198,Accumulationchange,RESERVE_NULL,Char[256],-
199,UsageServiceType,USAGE_SERVICE_TYPE,Integer[4],"Indicates the type of a real-time service.
The default value is 1400."
200,SourceSerialNo,RESERVE_0,Integer[8],-
201,SourceSubSequence,RESERVE_0,Integer[4],-
202,AcctBalChgList,RESERVE_NULL,Char[768],-
203,OriginCdrFilename,RESERVE_NULL,Char[64],"Indicates the name of a rated CDR.
The default value is 0."
204,CurCDRLineNo,RESERVE_0,Integer[8],"Indicates the number of the line where the
original CDR is located.
The default value is 0."
205,Tax,RESERVE_0,Integer[8],-
206,Tax2,RESERVE_0,Integer[8],-
207,Tax3,RESERVE_0,Integer[8],-
208,Tax4,RESERVE_0,Integer[8],-
