SN,Field Name,vOCS,Field Type,Description
167,SecondFeeType3,RESERVE_0,Integer[4],"Indicates the fee type of the third account of others,
such as the parent card.
0 means not used.
The default value is 0.
Not null"
168,SecondChargeAmount3,RESERVE_0,Integer[8],"Indicates the changing amount of the third account
of others, such as the parent card.
Value range: -2^63-2^63-1
0 means unchanged.
The default value is 0.
Not null"
169,SecondCurrentAcctAmount3,RESERVE_0,Integer[8],"Indicates the current amount of the third account
of others, such as the parent card.
Value range: -2^63-2^63-1
The default value is 0.
Not null"
170,SecondAccountType4,RESERVE_0,Integer[4],"Indicates the account type of the fourth account of
others, such as the parent card.
0 means not used.
The default value is 0.
Not null"
171,SecondFeeType4,RESERVE_0,Integer[4],"Indicates the fee type of the fourth account of
others, such as the parent card.
0 means not used.
The default value is 0.
Not null"
172,SecondChargeAmount4,RESERVE_0,Integer[8],"Indicates the changing amount of the fourth
account of others, such as the parent card.
Value range: -2^63-2^63-1
0 means unchanged.
The default value is 0.
Not null"
173,SecondCurrentAcctAmount4,RESERVE_0,Integer[8],"Indicates the current amount of the fourth account
of others, such as the parent card.
Value range: -2^63-2^63-1
The default value is 0.
Not null"
174,SecondAccountType5,RESERVE_0,Integer[4],"Indicates the account type of the fifth account of
others, such as the parent card.
0 means not used.
The default value is 0.
Not null"
175,SecondFeeType5,RESERVE_0,Integer[4],"Indicates the fee type of the fifth account of others,
such as the parent card.
0 means not used.
The default value is 0.
Not null"
176,SecondChargeAmount5,RESERVE_0,Integer[8],"Indicates the changing amount of the fifth account
of others, such as the parent card.
Value range: -2^63-2^63-1
0 means unchanged.
The default value is 0.
Not null"
177,SecondCurrentAcctAmount5,RESERVE_0,Integer[8],"Indicates the current amount of the fifth account of
others, such as the parent card.
Value range: -2^63-2^63-1
The default value is 0.
Not null"
178,SecondBonusValidity1,RESERVE_NULL,Char[14],"Indicates the validity period of the first rewarded
resource of others, such as the parent card. The
validity period does not change when fees are
deducted from accounts. In this case, the validity
periods of consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
179,SecondBonusValidity2,RESERVE_NULL,Char[14],"Indicates the validity period of the second
rewarded resource of others, such as the parent
card. The validity period does not change when
fees are deducted from accounts. In this case, the
validity periods of consumption resources are not
recorded.
Format: YYYYMMDDhhmmss
Can be null"
180,SecondBonusValidity3,RESERVE_NULL,Char[14],"Indicates the validity period of the third rewarded
resource of others, such as the parent card. The
validity period does not change when fees are
deducted from accounts. In this case, the validity
periods of consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
181,SecondBonusValidity4,RESERVE_NULL,Char[14],"Indicates the validity period of the fourth rewarded
resource of others, such as the parent card. The
validity period does not change when fees are
deducted from accounts. In this case, the validity
periods of consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
182,SecondBonusValidity5,RESERVE_NULL,Char[14],"Indicates the validity period of the fifth rewarded
resource of others, such as the parent card. The
validity period does not change when fees are
deducted from accounts. In this case, the validity
periods of consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
183,CallingClusterNumber,RESERVE_0,Integer[4],"Indicates the calling cluster number.
NOTE
This field is optional. When you do not set this field, the
field is bank. When this field is required but the value
cannot be obtained, this field is set to the default value
-1 of the control parameter. That is, the value of this field
may be blank or -1 in a CDR.
The default value is -1.
-1, 0 or 9999 means unknown.
Can be null"
184,CalledClusterNumber,RESERVE_0,Integer[4],"Indicates the called cluster number.
The default value is -1.

-1, 0 or 9999 means unknown.
Can be null"
185,OriginalCallingParty,ORIGINAL_CALLING_PARTY,Char[32],"Indicates the original calling number, initiating a
SIM card-number service.
The field is used in the forwarding process. For
example, subscriber A calls subscriber B and the
call is forwarded to subscriber C. In this case,
subscriber B is the calling party, subscriber A is
the original calling party, and the number of
subscriber A is the original calling number.
Value range: numerals within 0-9, *, #
Can be null"
186,PulaPulaProperty,RESERVE_0,Integer[4],-
187,BumerangeProperty,RESERVE_0,Integer[4],-
188,OppositePartyNumber,OPPOSITE_PARTY_NBR,Char[64],"Indicates the number of the opposite party.
In calling process, the number is the number of the

called party.
In called process, the number is the number of the
calling party.
The number format are as follows:
??Area number + PSTN
The number format is the format of the fixed-
line telephone number.
??MSISDN
The number format is the format of the mobile
phone number.
If it is a international number, the number format
are as follows:
??Country code + Area number + PSTN
The number format is the format of the fixed-
line phone number.
??Country code + MSISDN
The number format is the format of the mobile
phone number.
[a,z],[A,Z],[0,9], ,-,.,@.
The default value is null.
Not null"
189,RegionalZoneID,REGIONAL_ZONE_ID,Integer[4],-
190,DestinationName,RESERVE_NULL,Char[25],-
191,RateName,RESERVE_NULL,Char[25],-
192,DiameterSessionID,SESSION_ID,Char[128],"Indicates a diameter session ID.
The format is as follows:

<DiameterIdentity>;<high 32 bits>;<low 32 bits>
[;<optional value>]
??<DiameterIdentity>: the same as the field in the
Origin-Host AVP.
??<high 32 bits>: indicates the current time of the
system.
??<low 32 bits>: indicates the cycle count-up.
The initial value is 0. When you restart the
system, set the value to 0.
??<optional value>: indicates implementation
specific but may include a modem's device Id,
a layer 2 address, timestamp, etc.
Separate the preceding fields with the character "";"".
For example: SCP001.huawei.com;
1876543210;523
Can be null"
193,StartcountryGroup,RESERVE_0,Integer[4],"Indicates the start charging country group, that is,
the country group on the start location in toll call
charging.
The default value is 0.
Not null"
194,EndcountryGroup,RESERVE_0,Integer[4],"Indicates the end charging country group, that is,
the country group on the end location in toll call
charging.
The default value is 0.
Not null"
195,usergrade,RESERVE_0,Integer[4],-
196,IsTestNumber,RESERVE_0,Integer[4],-
197,MainProductStatus,MAIN_PRODUCT_STATUS,Integer[4],-
198,SubscriberIDType,RESERVE_0,Char[1],-
199,OriginatingIOI,RESERVE_NULL,Char[32],-
200,TerminatingIOI,RESERVE_NULL,Char[32],-
201,IMSChargingIdentifier,RESERVE_NULL,Char[64],-
202,Pulse,RESERVE_0,Integer[4],-
203,StartTimOfOCS,RESERVE_NULL,Char[14],-
204,DiscountOfLastEffProduct,DISCOUNT,Integer[4],"Indicates the discount percentage for the last rated
product that takes effect. For a product that does
not provide discounts, the value is 100.
Value range: 0-100
NOTE
The value 0 is not included.
Not null
The default value is 100."
205,subscriberkey,SUB_ID,Integer[4],"Indicates the key of a subscriber.
The default value is 0."
206,accumulationchange,RESERVE_NULL,Char[256],-
207,UsageServiceType,USAGE_SERVICE_TYPE,Integer[4],"Indicates the type of a real-time service.
The default value is 1100."
208,SourceSerialNo,RESERVE_0,Integer[8],-
209,SourceSubSequence,RESERVE_0,Integer[4],-
210,AcctBalChgList,ACCT_RES_ID_LIST,Char[768],-
211,SubscriberType,RESERVE_0,Integer[4],-
212,OriginCdrFilename,RESERVE_NULL,Char[64],-
213,CurCDRLineNo,RESERVE_0,Integer[4],-
214,DDSDiscountOff,RESERVE_0,Integer[4],-
215,Tax,RESERVE_0,Integer[8],-
216,Tax2,RESERVE_0,Integer[8],-
217,Tax3,RESERVE_0,Integer[8],-
218,Tax4,RESERVE_0,Integer[8],-
219,SecondSubscriberKey,RESERVE_0,Integer[4],"Indicates the key value of the entrusted-payment
subscriber.
The default value is 0."
220,SecondProductID,RESERVE_0,Integer[4],-
